ID	구분	항목	선행 조건	절차	기대 결과	근거	우선순위	프로토타입 확인	수행일	수행자	결과	비고
TC-F-01	기능·시퀀스	기선택 요금제 있는 진입 (케이스 A)	S-01에서 요금제를 이미 선택한 상태로 진입	1. 유입 파라미터·세션에 기선택 요금제를 담아 S-02 진입	케이스 A로 판정되어 선택 요금제가 반영된 상태로 목록이 열린다	STEP 1 · STEP 2	High	가능				
TC-F-02	기능·시퀀스	기선택 없는 진입 (케이스 B)	기선택 요금제 없음	1. 기선택 값 없이 S-02 진입	케이스 B로 판정되어 선택 없는 초기 상태로 목록이 열린다 C-32	STEP 1 · STEP 3 · C-32	High	가능				
TC-F-03	기능·시퀀스	기선택이 무효한 경우 폴백	기선택 요금제의 사용 여부 = 미사용	1. 사용 여부가 미사용인 요금제를 기선택 값으로 두고 진입	케이스 B로 폴백되어 요금제 화면이 정상 노출된다 (오류 화면 없음)	STEP 2 · C-40	High	구현 후				
TC-F-04	기능·시퀀스	개통 방법 미확정 시 이동	개통 방법 값 없음	1. 개통 방법 값이 없는 상태로 S-02 직접 진입	개통 방법 선택 화면(S-01)으로 이동한다	STEP 3	High	구현 후				
TC-F-05	기능·시퀀스	목록 조회 조건	정상 진입	1. 목록 로드 확인	사용 여부 = 사용이고 확정 개통 방법을 지원하는 요금제만 노출된다. 가입자 유형 사전 필터링은 하지 않는다	STEP 4 · C-40 · C-28	High	가능				
TC-F-06	기능·시퀀스	진입 시 결과 0건	조회 결과가 0건이 되는 조건	1. 조회 결과 0건 상태로 진입	EX-02 인라인 빈 상태로 전환되고 Alert은 뜨지 않는다	STEP 4 · EX-02	High	가능				
TC-F-07	기능·시퀀스	주간 BEST 탭 구성	주간 배치 결과 존재	1. 주간(BEST) 탭 확인	배치 결과 상위 10개가 확정된 뒤 필터·정렬이 적용되고, 카드에는 고유 순위가 표기된다	STEP 5 · C-14	High	가능				
TC-F-08	기능·시퀀스	주간 배치 조회 실패	주간 집계 실패 상황	1. 주간 집계 실패 상태로 진입	직전 주 데이터가 유지되고 사용자에게 별도 고지는 없다	STEP 5 · C-29	Mid	구현 후				
TC-F-09	기능·시퀀스	카드 렌더 규칙	목록 1건 이상	1. 카드의 가격 · 배지 표기 확인	프로모션가 유무로 가격 표기가 분기되고, 배지는 등록 순서 상위 2개만 노출된다	STEP 6 · C-30 · C-15 · C-37	High	가능				
TC-F-10	기능·시퀀스	초기 선택 상태	케이스 B 진입	1. 진입 직후 선택 상태 확인	선택된 카드가 없고 CTA는 비활성이다	STEP 7 · C-32	High	가능				
TC-F-11	기능·시퀀스	S-03에서 뒤로가기 복귀	요금제 선택 후 S-03으로 이동한 상태	1. S-03에서 뒤로가기로 S-02 복귀	직전 선택이 복원된다	STEP 7 · C-43	High	구현 후				
TC-F-12	기능·시퀀스	카드 단일 선택	목록 1건 이상	1. 카드 A 선택 ▸ 2. 카드 B 선택	B만 선택 상태가 되고 A는 자동 해제된다	STEP 8	High	가능				
TC-F-13	기능·시퀀스	같은 카드 재선택	카드 A 선택 상태	1. 카드 A를 다시 선택	선택이 해제되지 않고 그대로 유지된다 (선택은 단일 필수)	STEP 8 · S-02_E	Mid	가능				
TC-F-14	기능·시퀀스	선택 상태 렌더	카드 선택	1. 선택된 카드의 시각 상태 확인	보더 + 채움 + 라디오 3중 단서가 함께 적용된다 (색상 단독 금지)	STEP 9 · C-26 · WCAG 1.4.1	High	가능				
TC-F-15	기능·시퀀스	Sticky 요약 갱신	카드 선택	1. 카드 선택 후 하단 바 확인	선택 요금제명과 월 요금이 표기되고 CTA가 활성화된다	STEP 10 · C-20	High	가능				
TC-F-16	기능·시퀀스	필터 · 정렬 클라이언트 처리	목록 1건 이상	1. 필터 조건 적용 ▸ 2. 정렬 변경	화면 리로드 없이 목록이 갱신되고 요금제 N개가 즉시 갱신된다	STEP 11 · C-42	High	가능				
TC-F-17	기능·시퀀스	필터 결과 0건	필터 적용	1. 결과가 0건이 되는 필터 조건 적용	EX-02 빈 상태로 전환되고 탭·컨트롤은 유지된다	STEP 11 · EX-02	High	가능				
TC-F-18	기능·시퀀스	선택 후 스크롤 유지	목록을 아래로 스크롤한 상태	1. 목록 중간의 카드 선택	스크롤 위치가 유지되고 목록이 위로 튀지 않는다	STEP 8 · C-18	High	가능				
TC-F-19	기능·시퀀스	미선택 확정 시도	선택 없음	1. 신청서 작성하기 클릭	확정되지 않고 안내 토스트가 노출된다	STEP 12 · C-41	High	가능				
TC-F-20	기능·시퀀스	확정 시점 사용 여부 재검증	선택 요금제가 확정 직전 미사용으로 변경됨	1. 신청서 작성하기 클릭	선택이 해제되고 목록이 재조회된다	STEP 13 · C-40	High	구현 후				
TC-F-21	기능·시퀀스	세션 승계 후 이동	요금제 선택	1. 신청서 작성하기 클릭	선택 요금제가 신청서 세션에 기록되고 S-03으로 이동한다	STEP 14 · C-36 · C-19	High	구현 후				
TC-F-22	기능·시퀀스	탭 전환 시 목록 재구성	목록 1건 이상	1. 전체 → LTE 탭 전환	목록이 재구성되고 스크롤이 최상단으로 이동한다 (리로드 없음)	S-02_C	High	가능				
TC-F-23	기능·시퀀스	탭 전환 시 선택 유지	카드 선택 상태	1. 다른 탭으로 전환	선택한 요금제가 해제되지 않고 유지된다	S-02_C	High	가능				
TC-F-24	기능·시퀀스	탭 전환 시 정렬 기본값	주간 BEST 탭	1. 주간 BEST → 전체 탭 전환	정렬 기본값이 주간 순위순에서 추천순으로 바뀌고 순위 배지가 사라진다	C-27	Mid	가능				
TC-F-25	기능·시퀀스	점진 렌더	목록 다수 건	1. 목록 하단까지 스크롤	다음 묶음이 이어 붙고 페이징·무한스크롤 UI는 나타나지 않는다	C-39 · C-21	Mid	가능				
TC-E-01	예외	EX-02 빈 상태 구성	결과 0건	1. 빈 상태 영역 확인	아이콘 → 안내 문구 → 필터 초기화 버튼 순으로 노출된다	EX-02 · S-02_E	High	가능				
TC-E-02	예외	EX-02 유지 요소	결과 0건	1. 탭 · 요금제 개수 · 필터 · 정렬 · 비교 확인	모두 유지되고 요금제 개수는 0개로 갱신된다	EX-02 · S-02_C · S-02_D	High	가능				
TC-E-03	예외	EX-02 복구	결과 0건	1. 빈 상태의 필터 초기화 클릭	필터가 전체 해제되고 목록이 복구된다 (화면 이동 없음)	EX-02	High	가능				
TC-E-04	예외	EX-02 시 하단 바	결과 0건	1. 하단 고정 바 확인	안내 문구와 비활성 CTA 상태가 유지된다	EX-02 · S-02_F	Mid	가능				
